YEAR,STREET NAME,UNIT #,PROPERTY TYPE,BEDROOM,BATHROOM,MONTHLY RENT ($),SECURITY ($),LEASOR,MAX # of TENANTS,FURNISHED (Y/P/N),WATER (Y/N),TRASH (Y/N)
2023,DEL PLAYA,5,APT,3.0,2,9500.0,19000.0,PLAYA LIFE,8.0,N,Y,Y
2023,SUENO,D,APT,2.0,2,6150.0,12300.0,PLAYA LIFE,5.0,N,,
2023,SUENO,C,APT,2.0,2,6150.0,12300.0,PLAYA LIFE,5.0,N,,
2023,SUENO,B,APT,2.0,2,6150.0,12300.0,PLAYA LIFE,5.0,N,,
2023,SUENO,A,APT,2.0,2,6150.0,12300.0,PLAYA LIFE,5.0,N,,
2023,PASADO,,HOUSE,5.0,3,10000.0,20000.0,PLAYA LIFE,12.0,N,N,N
2023,DEL PLAYA,4,APT,4.0,2,11000.0,22000.0,PLAYA LIFE,8.0,N,Y,Y
2023,DEL PLAYA,3,APT,4.0,2,11000.0,22000.0,PLAYA LIFE,8.0,N,Y,Y
2023,DEL PLAYA,2,APT,4.0,2,11000.0,22000.0,PLAYA LIFE,8.0,N,Y,Y
2023,DEL PLAYA,1,APT,4.0,2,11000.0,22000.0,PLAYA LIFE,8.0,N,Y,Y
2023,DEL PLAYA,,HOUSE,4.0,3,14250.0,28500.0,PLAYA LIFE,11.0,N,,
2023,DEL PLAYA,,HOUSE,7.0,3,16750.0,33500.0,PLAYA LIFE,,N,,
2023,DEL PLAYA,,HOUSE,2.0,1.5,7000.0,14000.0,PLAYA LIFE,6.0,N,N,N
2023,DEL PLAYA,,HOUSE,2.0,1.5,7000.0,14000.0,PLAYA LIFE,6.0,N,,
2023,DEL PLAYA,,HOUSE,4.0,3,12250.0,24500.0,PLAYA LIFE,12.0,N,,
2023,DEL PLAYA,B,APT,3.0,2,9250.0,18500.0,PLAYA LIFE,8.0,N,Y,Y
2023,DEL PLAYA,A,APT,3.0,2,9250.0,18500.0,PLAYA LIFE,8.0,N,Y,Y
2023,DEL PLAYA,,HOUSE,4.0,2,11500.0,23000.0,PLAYA LIFE,9.0,N,,
2023,DEL PLAYA,,HOUSE,4.0,2,12000.0,24000.0,PLAYA LIFE,,N,,
2023,DEL PLAYA,,HOUSE,6.0,4,17750.0,35500.0,PLAYA LIFE,13.0,N,,
2023,DEL PLAYA,,HOUSE,6.0,4,17000.0,34000.0,PLAYA LIFE,16.0,N,,
2023,DEL PLAYA,5,APT,3.0,2,9500.0,19000.0,PLAYA LIFE,12.0,N,,
2023,DEL PLAYA,4,APT,5.0,2,12500.0,25000.0,PLAYA LIFE,12.0,N,Y,Y
2023,DEL PLAYA,3,APT,5.0,2,13000.0,26000.0,PLAYA LIFE,12.0,N,,
2023,DEL PLAYA,2,APT,5.0,2,13000.0,26000.0,PLAYA LIFE,12.0,N,Y,Y
2023,DEL PLAYA,1,APT,5.0,2,12000.0,24000.0,PLAYA LIFE,12.0,N,,
2023,DEL PLAYA,D,APT,3.0,2,7150.0,14300.0,PLAYA LIFE,6.0,N,N,Y
2023,DEL PLAYA,B,APT,2.0,1.5,6250.0,12500.0,PLAYA LIFE,6.0,N,N,Y
2023,DEL PLAYA,,HOUSE,7.0,3,16750.0,33500.0,PLAYA LIFE,,N,,
2023,DEL PLAYA,,HOUSE,6.0,2.5,17000.0,34000.0,PLAYA LIFE,12.0,N,,
2023,DEL PLAYA,4,APT,3.0,2,8500.0,17000.0,PLAYA LIFE,6.0,N,Y,Y
2023,DEL PLAYA,1,APT,3.0,2,8000.0,16000.0,PLAYA LIFE,8.0,N,Y,Y
